,lats,lons,elevation,pace,hr
0,-121.391349549,47.388289463,2554.5220178759764,6.183293947998831,120.67850847069754
1,-121.39136486389799,47.38832643016567,2554.3877081561022,6.177183629596561,122.25172585506112
2,-121.3913801939451,47.388363433898355,2554.2532655803493,6.171203695303721,123.79659839688208
3,-121.39139553884712,47.388400473487884,2554.118692728915,6.165352834605543,125.31336246765957
4,-121.3914108983113,47.38843754822763,2553.983992169136,6.1596297590063465,126.80225443889282
5,-121.39142627204637,47.3884746574145,2553.849166455489,6.154033201558421,128.263510682081
6,-121.39144165976252,47.388511800348944,2553.714218129593,6.148561916402138,129.6973675687233
7,-121.3914570611714,47.38854897633495,2553.579149720207,6.143214678316906,131.10406147031895
8,-121.39147247598612,47.38858618468005,2553.4439637432315,6.137990282282689,132.4838287583671
9,-121.39148790392127,47.38862342469531,2553.3086627017074,6.132887543051763,133.83690580436698
10,-121.39150334469292,47.388660695695336,2553.173249085816,6.127905294730426,135.16352897981776
11,-121.39151879801857,47.388697996998275,2553.0377253728807,6.123042390370379,136.4639346562186
12,-121.3915342636172,47.38873532792581,2552.902094027365,6.118297701569492,137.73835920506878
13,-121.39154974120929,47.38877268780317,2552.766357500872,6.113670118081692,138.98703899786742
14,-121.39156523051673,47.388810075959114,2552.630518232148,6.109158547435707,140.21021040611373
15,-121.39158073126292,47.388847491725954,2552.4945786470794,6.104761914562428,141.40810980130695
16,-121.3915962431727,47.38888493443952,2552.3585411586923,6.100479161430637,142.5809735549462
17,-121.39161176597239,47.3889224034392,2552.2224081671548,6.096309246690861,143.72903803853072
18,-121.39162729938978,47.388959898067924,2552.086182059775,6.092251145327134,144.8525396235597
19,-121.39164284315412,47.388997417672144,2551.9498652110033,6.088303848316438,145.9517146815323
20,-121.3916583969961,47.38903496160186,2551.813459982429,6.0844663622956,147.02679958394776
21,-121.39167396064794,47.389072529210615,2551.676968722784,6.080737709235469,148.07803070230526
22,-121.39168953384326,47.38911011985549,2551.5403937679393,6.077116926122133,149.10564440810396
23,-121.39170501681228,47.38914784900871,2551.3697751474842,6.07360306464499,150.1098770728431
24,-121.3917199917537,47.38918620325669,2551.022604153833,6.070195190891515,151.09096506802183
25,-121.39173497510222,47.38922457903717,2550.6752382546015,6.06689238504848,152.04914476513937
26,-121.39174996660765,47.38926297570936,2550.327683249968,6.063693741109517,152.98465253569492
27,-121.3917649660212,47.38930139263607,2549.9799449074626,6.060598366588786,153.89772475118764
28,-121.39177997309552,47.389339829183754,2549.6320289619644,6.057605382240623,154.78859778311676
29,-121.39179498758465,47.38937828472243,2549.2839411157042,6.054713921784999,155.65750800298147
30,-121.39181000924401,47.389416758625764,2548.935687038264,6.051923131638609,156.50469178228093
31,-121.39182503783047,47.389455250270984,2548.5872723665752,6.049232170651454,157.33038549251438
32,-121.39184007310232,47.38949375903896,2548.23870270492,6.046640209848781,158.13482550518097
33,-121.3918551148192,47.38953228431416,2547.8899836249325,6.0441464321781995,158.9182481917799
34,-121.3918701627422,47.38957082548465,2547.541120665595,6.041750032261873,159.6808899238104
35,-121.3918852166338,47.3896093819421,2547.1921193332437,6.039450216153614,160.4229870727716
36,-121.39190027625791,47.38964795308182,2546.8429851015617,6.037246201100784,161.1447760101628
37,-121.39191534137983,47.38968653830269,2546.4937234115864,6.03513721531083,161.84649310748307
38,-121.39193041176628,47.389725137007204,2546.1443396717023,6.03312249772239,162.52837473623165
39,-121.39194548718538,47.38976374860148,2545.7948392576477,6.031201297780764,163.19065726790777
40,-121.39196056740664,47.389802372495225,2545.4452275125095,6.029372875217712,163.83357707401058
41,-121.39197565220103,47.38984100810177,2545.0955097467263,6.027636499835428,164.45737052603928
42,-121.39199074134088,47.38987965483803,2544.7456912380862,6.025991451294569,165.06227399549311
43,-121.39200583459994,47.38991831212455,2544.3957772317294,6.024437018906246,165.64852385387118
44,-121.3920209317534,47.38995697938547,2544.045772940145,6.022972501427877,166.21635647267277
45,-121.39203603257779,47.389995656048534,2543.6956835431743,6.021597206862782,166.766008223397
46,-121.39205345099394,47.390033468235835,2543.68061877515,6.020310452263431,167.29771547754308
47,-121.39207225929663,47.39007076539568,2543.866277284942,6.019111563538247,167.81171460661025
48,-121.39209107134556,47.390108069984386,2544.051972774261,6.017999875261874,168.30824198209768
49,-121.3921098868696,47.390145381464265,2544.237702566588,6.016974730488799,168.78753397550452
50,-121.39212870559933,47.39018269930111,2544.423464002711,6.016035480570272,169.24982695833003
51,-121.39214752726713,47.39022002296417,2544.609254440727,6.015181484974396,169.69535730207335
52,-121.3921663516071,47.3902573519262,2544.7950712560378,6.0144121111093485,170.1243613782337
53,-121.39218517835512,47.39029468566342,2544.9809118413527,6.0137267341496115,170.53707555831028
54,-121.39220400724881,47.39033202365552,2545.1667736066884,6.013124736865145,170.93373621380226
55,-121.39222283802751,47.390369365385666,2545.3526539793675,6.0126055094534525,171.31457971620884
56,-121.39224167043238,47.390406710340514,2545.53855040402,6.012168449374404,171.6798424370292
57,-121.39226050420629,47.39044405801019,2545.7244603425834,6.011812961187806,172.0297607477626
58,-121.39227933909388,47.39048140788829,2545.9103812743006,6.011538456393604,172.36457101990814
59,-121.39229817484151,47.390518759471895,2546.096310695723,6.011344353274653,172.68450962496507
60,-121.39231701119735,47.390556112261564,2546.282246120708,6.011230076742035,172.9898129344326
61,-121.39233584791127,47.390593465761334,2546.4681850804186,6.011195058182762,173.28071731980987
62,-121.39235468473493,47.3906308194787,2546.654125123328,6.0112387353099015,173.5574591525961
